countries,Livestock_prior,Waste_prior,Oil-Gas_prior,Rice_prior,Coal_prior,Reservoirs_prior,Other_prior,AnthroTotal_prior,Total_prior,Livestock_post,Waste_post,Oil-Gas_post,Rice_post,Coal_post,Reservoirs_post,Other_post,AnthroTotal_post,Total_post,Livestock_post_min,Waste_post_min,Oil-Gas_post_min,Rice_post_min,Coal_post_min,Reservoirs_post_min,Other_post_min,AnthroTotal_post_min,Total_post_min,Livestock_post_max,Waste_post_max,Oil-Gas_post_max,Rice_post_max,Coal_post_max,Reservoirs_post_max,Other_post_max,AnthroTotal_post_max,Total_post_max,sensitivity
Canada,1.2003140882365508,0.7644835139363343,1.4850331590554653,2.687130302914653e-06,0.04814597178581527,3.1552131906019025,0.05326987007582441,6.7064624808221955,6.7064624808221955,1.335386074067406,0.8519208147178208,1.3829645831082786,7.61251493197732e-07,0.032367014875857344,1.9091988650647007,0.05051049571101256,5.56234860879657,5.56234860879657,0.2257499462189536,0.19356340904880032,0.09997690799438441,1.9445442958012915e-06,0.005427164177600467,0.7758297616549639,0.008419458552632285,1.1920996093319944,1.1920996093319944,0.04768081754222053,0.019577570761033725,0.016453833038679422,5.720610279150572e-07,0.004430088316001286,0.11132813700215571,0.0006681610372245086,0.0,0.0,0.8364195717782134
Central African Republic,0.10364197661007284,0.02022009128708366,0.0011242141479162234,1.0711314869507393e-05,0.0,0.0,0.01192430332710449,0.1369212966870467,0.1369212966870467,0.12044442918162403,0.026920719545640622,0.001397770493024221,8.923272133569012e-06,0.0,0.0,0.013932104803285736,0.16270394729570817,0.16270394729570817,0.04969819645095645,0.010471308082724534,0.0006662726145831371,1.0377260454442677e-06,0.0,0.0,0.0068253495184510855,0.06766062458495826,0.06766062458495826,0.011653109176177637,0.0037728289883061372,0.00010666614771803664,1.1097189098951466e-06,0.0,0.0,0.000990430129017738,0.016521996715174125,0.016521996715174125,0.3378999033923945
Chad,0.46445338814023923,0.005011208609868126,0.07486944985045645,0.0036406667807172043,0.0,0.0,0.04702224813955289,0.5949969615208339,0.5949969615208339,1.430193473163918,0.004967996132358477,0.07844741007028942,0.0016225630835567356,0.0,0.0,0.08921506415102877,1.6044465066011515,1.6044465066011515,0.9287421521890411,0.0,0.001497197578886722,0.0010796870774413176,0.0,0.0,0.04060229023268416,0.9697752880309273,0.9697752880309273,0.031229351003358996,0.004451554036795436,0.07908470915864498,0.0009778686520993706,0.0,0.0,0.0014120580611321765,0.043498021741547044,0.043498021741547044,0.6164617243327773
Chile,0.2304775699849109,0.288786699939583,0.036970585574901134,0.007737297098931909,0.0003365017653137348,0.02844855721197562,0.04020117509786532,0.6329583866734817,0.6329583866734817,0.09532188752771574,0.17914901739939076,0.02582582143145944,0.0055982492415837005,0.0003007962006831476,0.013618983569094861,0.025512114617819284,0.3453268699877469,0.3453268699877469,0.18520836138983326,0.10168960253441775,0.018589725964761678,0.0023866947417726147,1.594059354926219e-05,0.014178308820373249,0.016681356512564395,0.33872543572604413,0.33872543572604413,0.031525352047271096,0.02492694197455586,0.004081828453804247,0.0007171737963025393,2.16572382269641e-05,0.0035783482646518285,0.00423771114356342,0.06908901291837594,0.06908901291837594,0.3769765775565123
China,13.021686883201093,6.642933672070988,1.2051963930486014,8.887857919320435,21.162468460904787,3.140566632667268,4.302593379355065,58.36330334056824,58.36330334056824,12.080447084733342,8.630240670187604,3.366444070391795,10.013735585275622,14.000304983583396,4.116685210160752,6.323432934809541,58.53129053914205,58.53129053914205,3.8359881690481306,1.112036151944964,1.4105296504706217,1.014287709867789,0.9044150070637063,1.0027537740619445,1.1345405559157742,9.435604896629727,9.435604896629727,1.1384738699631232,0.10376790872942898,0.4466603633009725,0.17254800147791904,0.614531450026158,0.0,0.2618210351734742,1.6129591735597657,1.6129591735597657,0.9880656554307644
Colombia,1.5780420705013336,0.7022433114079826,0.25007476873008055,0.0,0.20200176989265167,0.12490191425842473,0.06450242040064276,2.921766255191116,2.921766255191116,2.4885592663510105,1.6943290461016578,1.0069708751939002,0.0,0.3167508013728391,0.14093583580048452,0.16521441719700625,5.812760242016899,5.812760242016899,0.9728619363284665,0.49653012594131973,0.5862041817804664,0.0,0.055907743766077656,0.019192036878190724,0.05679230449881631,2.0018286498896978,2.0018286498896978,0.26047562498551,0.1790002129791728,0.05189592305905677,0.0,0.20545277941014545,0.031209049828021085,0.021934819388353566,0.6243452696308465,0.6243452696308465,0.5906845652823506
Costa Rica,0.08949508669671755,0.06297539641699804,1.0164093674634885e-05,0.011149258635587866,0.0,0.004866559777042657,0.004264722680790536,0.17276118830081125,0.17276118830081125,0.09817407171103933,0.06939023276577339,1.1226251112876982e-05,0.012338909580110967,0.0,0.00537514629628486,0.004507520804331244,0.18979710740865266,0.18979710740865266,0.031254878556081375,0.02779039648714128,4.807574541947988e-06,0.003425455293148893,0.0,0.0023026186382830403,0.0012114316508928294,0.06598958820008935,0.06598958820008935,0.025835878985181027,0.016424089759025873,2.5598054076935924e-06,0.00345110361650299,0.0,0.0012253944693606227,0.001203770491329163,0.048142797126807385,0.048142797126807385,0.1948302627884203
Croatia,0.05366487570209172,0.06429608312901644,0.00792210533894999,0.0,0.0,0.00542254673127466,0.015043267811340817,0.14634887871267363,0.14634887871267363,0.035151250685923875,0.035455572625554044,0.005582137996619627,0.0,0.0,0.0025350269505795817,0.008372218459140062,0.08709620671781718,0.08709620671781718,0.0011077650224813954,0.04883540980138039,2.5739236583131007e-05,0.0,0.0,0.006162854871455223,0.010798262684390726,0.06378432004057208,0.06378432004057208,0.005457656215882886,0.009514939786677265,0.002340305063939352,0.0,0.0,0.0009786305021334224,0.0021644788248287826,0.01876416836643792,0.01876416836643792,0.4681091426597692
Cuba,0.17759914574555924,0.09625599239767593,0.09401882775232188,0.011898440818271535,0.0,0.0,0.008972287455139182,0.38874469416896773,0.38874469416896773,0.09849427146650228,0.04745190150170516,0.026953799052831816,0.0060888926484262244,0.0,0.0,0.0043903276291943115,0.1833791922986598,0.1833791922986598,0.06661107601086583,0.04780421943811036,0.09668174417638434,0.006562663175174515,0.0,0.0,0.004102926947209786,0.2217626297477448,0.2217626297477448,0.03475963120169384,0.020558456405258586,0.025015740713011117,0.0024953487155322633,0.0,0.0,0.0018030149999552257,0.08463219203545103,0.08463219203545103,0.3167728315891164
Czechia,0.14337185907133615,0.1912545877481296,0.02447599057324393,0.0,0.06900180011547041,0.010085217484237194,0.053836509158843,0.4920259641512603,0.4920259641512603,0.22358021698117259,0.26851837992262184,0.031881104023834615,0.0,0.11685359455735164,0.01552119734826199,0.06863429014362728,0.72498878297687,0.72498878297687,0.02495273843869994,0.023195820836517528,0.002078492286597986,0.0,0.01901953210355882,0.0011016034229308427,0.004761209781519921,0.0737569809137556,0.0737569809137556,0.009941717728579241,0.008195126441312817,0.0003144376146260175,0.0,0.005172134116434843,0.0,0.0005313645855056226,0.024145227446714546,0.024145227446714546,0.7290144796775545
Ivory Coast,0.06271926471475843,0.08234049966578552,0.8132302072231432,0.11946097220745343,0.0,0.10528680961805291,0.06740071602037095,1.2504384694495643,1.2504384694495643,0.07168514669951712,0.06236823483425072,0.31043971745012733,0.11590368122276067,0.0,0.26166992155240815,0.07633240362382311,0.898399105382887,0.898399105382887,0.010612569005035315,0.0,0.6513150021764434,0.0017212649405947689,0.0,0.14252441836680707,0.011529011277337367,0.6627970877680316,0.6627970877680316,0.012698146732871007,0.009489084209355,0.1802404066154351,0.021473055470639754,0.0,0.008510744654799174,0.014163688745074662,0.022281309672653737,0.022281309672653737,0.4214812991053244
Democratic Republic of the Congo,0.14679447609658125,5.840609338000533,0.07413578015194879,0.02036315431246638,0.0,0.029250068985808616,0.24144648462840804,6.352599302175746,6.352599302175746,0.10954929857909784,1.8830790699193132,0.020533019481928674,0.007186298680900801,0.0,0.01171013299743224,0.17898772430698112,2.211045543965654,2.211045543965654,0.006693626761914012,0.11335569549407265,0.039893088915355264,0.002750828772749422,0.0,0.00253732316797403,0.030816127362350926,0.1095151512167738,0.1095151512167738,0.027694767531242365,0.5351732067729371,0.01848851515545358,0.0039046910085514487,0.0,0.003444222172606941,0.0042572567994077215,0.5871041728078459,0.5871041728078459,0.9354032979844736
Denmark,0.26396623778641964,0.04041267172987687,0.0022686674724965096,0.0,0.0,0.00011285111690727475,0.021782085119020942,0.3285425132247213,0.3285425132247213,0.37029702664998126,0.043056211282443344,0.0023244975300234427,0.0,0.0,0.00011285111690727475,0.022404059471911323,0.4381946460512667,0.4381946460512667,0.046878419092363954,0.0037734984446295,0.00014275782769348046,0.0,0.0,0.0,0.0006745369486631687,0.0466613084594385,0.0466613084594385,0.01831389978501019,0.0,8.450479138872452e-05,0.0,0.0,0.0,0.0010730589782321776,0.016901125628211555,0.016901125628211555,0.6015428885913716
Djibouti,0.010882405983084872,0.007728761568206757,4.260944241991829e-08,0.0,0.0,0.0,0.002310697452996508,0.020921907613730556,0.020921907613730556,0.13354370820787495,0.09482305417229099,5.22882803147617e-07,0.0,0.0,0.0,0.028299823204322547,0.2566671084672916,0.2566671084672916,0.11981054838490211,0.08507178864787227,4.6911139601301395e-07,0.0,0.0,0.0,0.025389570072652214,0.23027237621682262,0.23027237621682262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203982871025798
Dominican Republic,0.2029799560366893,0.20559497405480615,0.0019244430904177866,0.018436822554270482,0.0,0.0005576504382848108,0.011191261630969049,0.4406851078054376,0.4406851078054376,0.23189144843360773,0.26155226220252814,0.0024489749769730502,0.022238293130891696,0.0,0.0006069196577412361,0.013890320084560386,0.5326282184863023,0.5326282184863023,0.02042336123737748,0.03805469007605494,0.00035668569880571016,0.00261994092441295,0.0,4.7043831636178735e-05,0.0017838592008325837,0.06327501609400538,0.06327501609400538,0.004296462595704709,0.01139893975341666,0.00010716853295937448,0.0007155947346783702,0.0,3.6201673033549493e-06,0.0005798310406367815,0.01710161682469913,0.01710161682469913,0.6811827479533152
Ecuador,0.3924543479217395,0.09366529008865154,0.03614208693015686,0.017289580231442097,0.0,0.003174546820926453,0.012285231891605212,0.5550110838845217,0.5550110838845217,0.5453685930496295,0.1171541175469539,0.034108955902716516,0.02903706086731505,0.0,0.003317118439031338,0.017237882797046807,0.7462237286026933,0.7462237286026933,0.13423065091321357,0.020941439470801126,0.0012773649503485043,0.010272290858466138,0.0,0.00019899939553677786,0.004420119290242703,0.170695743319228,0.170695743319228,0.36428348082108375,0.025965451098255016,0.0038564933834854334,0.034671700114636085,0.0,0.0006660359943661473,0.008408789209595004,0.4318530568976843,0.4318530568976843,0.2642155280426203
