countries,Reservoirs_prior,Termites_prior,Seeps_prior,Natural_prior,Wetlands_prior,BiomassBurn_prior,OtherAnth_prior,OtherAnthPlusRes_prior,Rice_prior,Wastewater_prior,Landfills_prior,Livestock_prior,Coal_prior,OilAndGas_prior,Total_Anth_Prior,Total_prior,Reservoirs_post,Termites_post,Seeps_post,Natural_post,Wetlands_post,BiomassBurn_post,OtherAnth_post,OtherAnthPlusRes_post,Rice_post,Wastewater_post,Landfills_post,Livestock_post,Coal_post,OilAndGas_post,Total_Anth_Post,Total_posterior
Mongolia,0.00358113533,0.1210829153,0.002553867224,0.1236367826,0.1799616323,0.001134432746,0.01939901068,0.02298014601,0,0.003905149288,0.002611497005,0.2915669956,0.02765805502,0.009833558558,3.60E-01,0.6632882491,0.001464162386,0.1278573454,0.001659524376,0.1295168697,0.07976908901,0.000359064632,0.006747140018,0.008211302404,0,0.001258390314,0.0008449801515,0.1451995375,0.02407384399,0.004876566479,1.85E-01,0.3941096443
Uzbekistan,0.00466371117,0.01806660229,0.001276894111,0.0193434964,0.005623171951,0.0005788909193,0.02704673226,0.03171044343,0,0.1489502474,0.1850581735,0.6122072059,0.005154944031,1.780200201,2.76E+00,2.788826775,0.0008947952783,0.01702193519,0.001481268455,0.01850320365,0.006113214999,0.0005917136965,0.0277489539,0.02864374917,0,0.1466538132,0.1938458377,0.6471511437,0.001320860922,1.952488622,2.97E+00,2.995312159
Indonesia,0.09182160863,0.1683296502,0.04251092205,0.2108405723,8.933479551,0.8356095084,0.4233437996,0.5151654083,1.659806559,6.013180344,1.220842182,0.6874192976,0.1123224713,0.5146864967,1.16E+01,20.70335239,0.05514945761,0.2545951011,0.08060236421,0.3351974653,14.00094432,0.7288388324,0.6630231157,0.7181725734,2.058386036,4.704781482,0.9561525412,0.7186931266,0.1882919917,1.039644009,1.11E+01,25.44910237
Timor-Leste,0,0.0007371150429,0.002882157993,0.003619273036,0,0.003170321348,0.0009606340319,0.0009606340319,0,0.0007338205744,0.0002004242081,0.0178842811,0,0.00236985454,2.53E-02,0.02893860883,0,0.0007344470042,0.003098889,0.003833336004,0,0.003507870632,0.00102577596,0.00102577596,0,0.0008470665175,0.0002317168701,0.02003033124,0,0.002717081826,2.84E-02,0.03219317905
Cambodia,0.1118906828,0.02247148425,0.0007456913327,0.02321717558,1.163031469,0.1704339802,0.05384818612,0.1657388689,0.6836635278,0.007865581289,0.00235043663,0.1868717812,0.0003415135296,0.0005284555135,1.22E+00,2.40404279,0.04733667942,0.03102673719,0.0008327021349,0.03185943932,1.947814254,0.2217608287,0.09157294003,0.1389096195,1.522681494,0.01139888446,0.003474055853,0.3239341851,0.0003829338952,0.00103975832,2.22E+00,4.203255453
Thailand,0.170061778,0.06064890161,0.001686506443,0.06233540805,1.597221906,0.07595104604,0.1612861656,0.3313479435,1.323440854,0.2964921589,0.214468801,0.3394402798,0.02328613527,0.296693385,2.90E+00,4.560677918,0.1818347278,0.1048773816,0.003356102048,0.1082334837,2.701226191,0.104377334,0.2655382962,0.447373024,2.819867976,0.3123339123,0.2229581762,0.3121033512,0.0425423705,0.3956629966,4.66E+00,7.466678816
Laos,0.1135875442,0.03177949545,0.0007285341012,0.03250802955,0.2172241538,0.2109593782,0.02845612263,0.1420436668,0.1373301723,0.00218604836,0.000237326242,0.1136799595,0.002568385365,0.000635103494,6.10E-01,0.8593722236,0.07873368028,0.04789184977,0.001658036685,0.04954988646,0.2900309944,0.2446275857,0.04567109913,0.1244047794,0.1347465182,0.002304719306,0.0002572314746,0.2432647866,0.001497621883,0.0006408456223,7.52E-01,1.091324969
Myanmar,0.1029642724,0.09930159582,0.003824827664,0.1031264235,1.590507939,0.2624168742,0.1881854423,0.2911497146,0.5871965555,0.1277732453,0.02132263286,0.5207240577,0.005510262332,0.00677084371,1.82E+00,3.516498549,0.04749310979,0.07597593736,0.002912497358,0.07888843472,1.470133063,0.1650726488,0.1467395939,0.1942327037,0.5130446136,0.08440423562,0.01405850897,0.3804629158,0.002586431769,0.004866434113,1.36E+00,2.90774999
Vietnam,0.2593033228,0.03273468239,0.001440356168,0.03417503856,1.38174868,0.0440469766,0.1581505966,0.4174539194,1.791282329,0.4787751418,0.262072437,0.4972058455,0.1028362345,0.03999998402,3.63E+00,5.049596586,0.3954549413,0.04795843906,0.002866076641,0.0508245157,1.370638674,0.07971311046,0.2139359047,0.609390846,1.613957944,0.5211496315,0.2853945427,0.5514742155,0.05937603782,0.05620625984,3.78E+00,5.198125777
North Korea,0.03163016462,0.006298386765,0.0005958442075,0.006894230972,0.072427793,0.000444435212,0.04822916576,0.07985933038,0.07893611739,0.02445344571,0.01759316247,0.05510210048,0.2742893563,0.0001473292598,5.31E-01,0.6101473012,0.0281347693,0.006275147704,0.0005929407428,0.006868088447,0.06089573826,0.0004535595035,0.04235736394,0.07049213324,0.05651410382,0.0206438698,0.01483868248,0.05254225599,0.1527709297,0.0001337015087,3.68E-01,0.4361530627
