countries,Livestock_prior,Waste_prior,OG_prior,Rice_prior,Coal_prior,Reservoirs_prior,OtherAnth_prior,BiomassBurn_prior,Wetlands_prior,Termites_prior,Seeps_prior,AnthroTotal_prior,Total_prior,UNFCCC_total_prior,Livestock_post,Waste_post,OG_post,Rice_post,Coal_post,Reservoirs_post,OtherAnth_post,BiomassBurn_post,Wetlands_post,Termites_post,Seeps_post,AnthroTotal_post,Total_post,UNFCCC_total_post,A
Congo,0.028108528144759923,0.005009823144587132,0.012635449768609452,0.0,0.0,0.016215593221484133,0.007692996812425127,0.0625698139410625,4.544967959770287,0.054068387573388145,1.9046888190474517e-05,0.06966239109186577,4.731287599264794,0.05344679787038164,0.0161161150566614,0.0037591227778984468,0.007493192432089174,0.0,0.0,0.007456821345181134,0.005302941831850314,0.0349388042346732,3.1714650843574677,0.04080872280223116,1.3426012696649196e-05,0.040128193443680474,3.2873542308507493,0.03267137209849934,0.6224360926838146
Costa Rica,0.08949508669671755,0.06297539641699804,1.0164093674634885e-05,0.011149258635587866,0.0,0.004866559777042657,0.004264722680790536,0.0023063971362675324,0.17876812371130432,0.008165240246377561,0.002918625555757751,0.17276118830081125,0.3649195749505184,0.1678946285237686,0.09817407171103933,0.06939023276577339,1.1226251112876982e-05,0.012338909580110967,0.0,0.00537514629628486,0.004507520804331244,0.0025462258140961963,0.19167984238449767,0.002885434648919551,0.0025666456787108785,0.18979710740865266,0.389475255934877,0.1844219611123678,0.1948302640002275
Croatia,0.05366487570209172,0.06429608312901644,0.00792210533894999,0.0,0.0,0.00542254673127466,0.015043267811340817,0.00017990610949675958,0.0458558673108684,0.005882913183610984,0.0031503229986644438,0.14634887871267363,0.2014178883153142,0.14092633198139898,0.035151250685923875,0.035455572625554044,0.005582137996619627,0.0,0.0,0.0025350269505795817,0.008372218459140062,0.00012364385583021057,0.019965044733475223,0.003005870103009003,0.0019776500936690695,0.08709620671781718,0.11216841550380068,0.0845611797672376,
Cuba,0.17759914574555924,0.09625599239767593,0.09401882775232188,0.011898440818271535,0.0,0.0,0.008972287455139182,0.011491209231101349,0.237831924731141,0.005503329003692602,0.002106341885765889,0.38874469416896773,0.6456774990206685,0.38874469416896773,0.09849427146650228,0.04745190150170516,0.026953799052831816,0.0060888926484262244,0.0,0.0,0.0043903276291943115,0.005664018388928558,0.10710601433049073,0.001253662833659599,0.000687137494634272,0.1833791922986598,0.2980900253463729,0.1833791922986598,0.3167728126062769
Czechia,0.14337185907133615,0.1912545877481296,0.02447599057324393,0.0,0.06900180011547041,0.010085217484237194,0.053836509158843,0.00024549132737167884,0.01603439285030757,0.006679099172416986,0.0031997551243116247,0.4920259641512603,0.5181847026256681,0.48194074666702313,0.22358021698117259,0.26851837992262184,0.031881104023834615,0.0,0.11685359455735164,0.01552119734826199,0.06863429014362728,0.00044069910052889095,0.023285833529656363,0.010824930215644879,0.004606432325167379,0.72498878297687,0.7641466781478675,0.709467585628608,0.390282575957505
Ivory Coast,0.06271926471475843,0.08234049966578552,0.8132302072231432,0.11946097220745343,0.0,0.10528680961805291,0.06740071602037095,0.02841155894205623,0.15508143440467728,0.047588465822947026,1.8866122926267997e-06,1.2504384694495643,1.4815218152315375,1.1451516598315115,0.07168514669951712,0.06236823483425072,0.31043971745012733,0.11590368122276067,0.0,0.26166992155240815,0.07633240362382311,0.040223588855414535,0.1912108308921275,0.05411950586092341,1.7180562081545887e-06,0.898399105382887,1.1839547490475606,0.6367291838304789,0.5166894194056285
Democratic Republic of the Congo,0.14679447609658125,5.840609338000533,0.07413578015194879,0.02036315431246638,0.0,0.029250068985808616,0.24144648462840804,1.4258757619042601,7.211814143250046,0.38770669696956267,0.0012406822216297114,6.352599302175746,15.379236586521245,6.323349233189938,0.10954929857909784,1.8830790699193132,0.020533019481928674,0.007186298680900801,0.0,0.01171013299743224,0.17898772430698112,1.1726569591836886,5.696591874036141,0.4426973062346057,0.000972096925996364,2.211045543965654,9.523963780346087,2.1993354109682217,0.944818953829714
Denmark,0.26396623778641964,0.04041267172987687,0.0022686674724965096,0.0,0.0,0.00011285111690727475,0.021782085119020942,5.934809426071419e-05,0.14807033106836612,0.006467490725147016,0.0007410438663190176,0.3285425132247213,0.4838807269788142,0.328429662107814,0.37029702664998126,0.043056211282443344,0.0023244975300234427,0.0,0.0,0.00011285111690727475,0.022404059471911323,6.706788888664541e-05,0.16669496986127436,0.005934458066005478,0.0007640882525681891,0.4381946460512667,0.6116552301200014,0.4380817949343594,0.103471508970396
Djibouti,0.010882405983084872,0.007728761568206757,4.260944241991829e-08,0.0,0.0,0.0,0.002310697452996508,1.1343882979532531e-05,0.0005234911256117991,0.0025369569057392873,0.0011825775862612379,0.020921907613730556,0.025176277114322416,0.020921907613730556,0.13354370820787495,0.09482305417229099,5.22882803147617e-07,0.0,0.0,0.0,0.028299823204322547,0.0001392067343304111,0.006424034008359684,0.02814674427371882,0.014512029449950377,0.2566671084672916,0.30588912293365095,0.2566671084672916,0.0294598937034603
Dominican Republic,0.2029799560366893,0.20559497405480615,0.0019244430904177866,0.018436822554270482,0.0,0.0005576504382848108,0.011191261630969049,0.00068173033233564,0.03995523603703942,0.00878298374223587,0.0005005537291189095,0.4406851078054376,0.49060561164616745,0.4401274573671528,0.23189144843360773,0.26155226220252814,0.0024489749769730502,0.022238293130891696,0.0,0.0006069196577412361,0.013890320084560386,0.0008347663127191234,0.051869807690559835,0.004124324115943052,0.0005366036966759784,0.5326282184863023,0.5899937203022003,0.532021298828561,0.6811827353664099
